COD_UF;COD_MUNICIPIO;COD_DISTRITO;SITUACAO;NOM_TIPO_SEGLOGR;NOM_TITULO_SEGLOGR;NOM_SEGLOGR;NUM_ENDERECO;DSC_LOCALIDADE;CEP
35;9502;5;2;ESTRADA;;SAO VICENTE;;PARQUE ANHUMAS;13098319
35;9502;5;2;RODOVIA;;SP340;;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13010000
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13010000
35;9502;5;2;RODOVIA;;SP340;116.0;BAIRRO ANHUMAS;13098031
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13010001
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13098319
35;9502;5;2;RODOVIA;;SP340;116.0;RECANTO DOS DOURADOS;13010002
35;9502;5;2;RODOVIA;;SP340;121.0;RECANTO DOS DOURADOS;13010000
35;9502;5;2;RODOVIA;;SP340;;BAIRRO ANHUMAS;13010000
35;9502;5;2;RUA;;GLEBAS DE SAO PEDRO;;GLEBAS DE SAO PEDRO;13010000
35;9502;5;2;ESTRADA;;ADELINO CERQUEIRA SERGANTINI;;BAIRRO ANHUMAS;13010030
35;9502;5;2;RODOVIA;;DOM PEDRO;;BAIRRO ANHUMAS;13010000
35;9502;5;2;RUA;DOUTOR;BERNADOR;501.0;PQ DOS ALECRINS;13098537
35;9502;5;2;AVENIDA;;ANHANGUERA;;PROXIMO AO SWISS PARK OFFICE;13049900
35;9502;15;1;RODOVIA;;JOSE BONIFACIO COUTINHO NOGUEI;4.0;JOAQUIM EGIDIO;13106001
35;9502;5;2;RUA;;LAZARO FERREIRA BARBOSA;814.0;CAMPO BELO;13053136
35;9502;5;2;ESTRADA;;VELHA DE INDAIATUBA;35.0;JARDIM IRACI;13052495
35;9502;5;2;RODOVIA;;LIX DA CUNHA;73.0;SITIO SANTA MATILDE;13051585
35;9502;5;2;RODOVIA;;LIX DA CUNHA;73.0;SETE QUEDAS;13040735
35;9502;5;2;RUA;;DOIS;3.0;CARLOS GOMES;13099106
35;9502;5;2;RUA;;MATILDE PETIN;19.0;MONTE BELO 1;13010000
35;9502;5;2;RUA;;ANTONIO EGIDIO PUPO;;MONTE BELO 1;13098899
35;9502;5;2;ENTRADA;;LUIS DE QUEIROZ GUIMARAES;;CAMPINAS;13010301
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;REFORMA AGRARIA;13010000
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;CAMPINAS;13024070
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;REFORMA AGRARIA;13279481
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;CAMPINAS;13013175
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;CAMPINAS;13015907
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;CAMPINAS;13023075
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;CAMPINAS;13023040
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;CAMPINAS;13015150
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;CAMPINAS;13012906
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;REFORMA AGRARIA;13010010
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;REFORMA AGRARIA;13010010
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;REFORMA AGRARIA;13010010
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;REFORMA AGRARIA;13010009
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;REFORMA AGRARIA;13010009
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;REFORMA AGRARIA;13010009
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;REFORMA AGRARIA;13010010
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;;REFORMA AGRARIA;13010009
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;7.0;REFORMA AGRARIA;13279481
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO C NOGUEIR;69.0;REFORMA AGRARIA;13279481
35;9502;5;2;RUA;PADRE;MODESTO NUNES;3.0;REFORMA AGRARIA;13279481
35;9502;5;2;RUA;PADRE;MODESTO NUNES;;REFORMA AGRARIA;13279481
35;9502;5;2;TRAVESSA;DOUTOR;JOSE B C NOGUEIRA;;REFORMA AGRARIA;13012909
35;9502;5;2;ESTRADA;;LUIS DE QUEIROZ GUIMARAES;;REFORMA AGRARIA;13279481
35;9502;5;2;ESTRADA;;LUIS DE QUEIROZ GUIMARAES;7.0;REFORMA AGRARIA;13279481
35;9502;5;2;ESTRADA;;LUIS DE QUEIROZ GUIMARAES;69.0;REFORMA AGRARIA;13279481
35;9502;5;2;ESTRADA;;LUIS DE QUEIROZ GUIMARAES;;MACUCO;13279481
35;9502;5;2;ESTRADA;;LUIS DE QUEIROZ GUIMARAES;71.0;MACUCO;13279481
35;9502;5;2;ESTRADA;;LUIS DE QUEIROZ GUIMARAES;;REFORMA AGRARIA;13279481
35;9502;5;2;ESTRADA;;LUIS DE QUEIROZ GUIMARAES;;MACUCO;13279481
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO COUTINHO NOGUEIRA;64.0;REFORMA AGRARIA;13279481
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO COUTINHO NOGUEIRA;;REFORMA AGRARIA;13279481
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO COUTINHO NOGUEIRA;;REFORMA AGRARIA;13279481
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO COUTINHO NOGUEIRA;;REFORMA AGRARIA;13279481
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO COUTINHO NOGUEIRA;27.0;REFORMA AGRARIA;13279481
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO COUTINHO NOGUEIRA;29.0;REFORMA AGRARIA;13279481
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO COUTINHO NOGUEIRA;29.0;REFORMA AGRARIA;13279481
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO COUTINHO NOGUEIRA;;REFORMA AGRARIA;13279481
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO COUTINHO NOGUEIRA;;REFORMA AGRARIA;13279481
35;9502;5;2;ESTRADA;DOUTOR;JOSE BONIFACIO COUTINHO NOGUEIRA;;REFORMA AGRARIA;13279481
35;9502;5;2;SEM;;SEM LOGRADOURO;;CHACARA DO GIDO;13010000
35;9502;5;2;RUA;;ZE FERNANDES DE LIMA;;PARQUE BRASILIA;13010000
35;9502;5;2;RUA;;SUMI SASAKI;;VILA LAFAIETE ALVARO;13091339
35;9502;5;2;AVENIDA;;MAKENZIE;;VILA BRANDINA;13010000
35;9502;5;2;RODOVIA;DOUTOR;ADHEMAR DE BARROS;118.0;PAUDALHO;13010000
35;9502;5;2;PROLONGAMENTO;;DA AVENIDA JONH BOYD DUNLOP;;CAMPO GRANDE;13058326
35;9502;5;2;ESTRADA;;JOHN BOYD DUNLOP;;CAMPO GRANDE;13058326
35;9502;5;2;RUA;;DEZESSETE;;GARGANTILHA;13098815
35;9502;5;2;ESTRADA;;DE FURNAS;;BAIRRO SAO DOMINGOS;13010000
35;9502;5;2;ESTRADA;;DE FURNAS;;CARLOS GOMES;13010000
35;9502;5;2;ESTRADA;;SERVIDAO;;CARLOS GOMES;13099102
35;9502;5;2;ESTRADA;;SERVIDAO;;CARLOS GOMES;13099102
35;9502;5;2;ESTRADA;;SERVIDAO;;CARLOS GOMES;13099110
35;9502;5;2;RUA;;WALTER FRANCO DE LIMA;;CARLOS GOMES;13099102
35;9502;5;2;RUA;;WALTER FRANCO DE LIMA;;CARLOS GOMES;13099102
35;9502;5;2;RUA;;WALTER FRANCO DE LIMA;;CARLOS GOMES;13099103
35;9502;5;2;RUA;;WALTER FRANCO DE LIMA;;CARLOS GOMES;13099102
35;9502;5;2;RUA;;PEROBA;19.0;CHACARAS MARIANGELA;13010009
35;9502;5;2;RUA;;ANTONIO MAROTA;2.0;VILLAGE;13085725
35;9502;5;2;RUA;;UM;90.0;CHACARA LEANDRO;13010001
35;9502;5;2;RODOVIA;;ADHEMAR PEREIRA DE BARROS;;VILLAGE;13010003
